faculty_code,course_number
not GSJ,472
not GSJ,473
not HIST,391
not HIST,397
not HIST,398
not HIST,4*
not HLTH,401
not HRTS,390
not HRTS,490
not INDG,101
not INDG,102
not ITALST,296
not ITALST,394
not ITALST,396
not JS,350
not JS,450
not LS,203
not LS,221
not LS,229
not LS,280
not LS,283
not LS,322
not LS,330
not LS,403
not LS,404
not LS,405
not LS,413
not LS,419
not LS,422
not LS,423
not LS,425
not LS,428
not LS,431
not LS,433
not LS,434
not LS,435
not LS,461
not LS,496
not LS,498
not LS,526
not MEDVL,291
not MEDVL,391
not MEDVL,491
not PACS,290
not PACS,301
not PACS,302
not PACS,39*
not PACS,4*
not PHIL,216
not PHIL,240
not PHIL,252
not PHIL,271
not PHIL,340
not PHIL,350
not PHIL,355
not PHIL,358
not PHIL,371
not PHIL,40*
not PHIL,41*
not PHIL,42*
not PHIL,43*
not PHIL,44*
not PHIL,452
not PHIL,455
not PHIL,458
not PHIL,459
not PHIL,46*
not PHIL,47*
not PHIL,48*
not PHIL,49*
not PSCI,299
not PSCI,314
not PSCI,315
not PSCI,360
not PSCI,390
not PSCI,391
not PSCI,400
not PSCI,403
not PSCI,426
not PSCI,433
not PSCI,437
not PSCI,485
not PSCI,49*
not PSYCH,207
not PSYCH,261
not PSYCH,264
not PSYCH,291
not PSYCH,292
not PSYCH,306
not PSYCH,307
not PSYCH,335
not PSYCH,363
not PSYCH,375R
not PSYCH,389
not PSYCH,39*
not PSYCH,420
not PSYCH,447
not PSYCH,45*
not PSYCH,46*
not PSYCH,47*
not PSYCH,48*
not PSYCH,49*
not REES,260
not RS,101
not RS,102
not RS,223
not RS,224
not RS,271
not RS,291
not RS,391
not RS,395
not RS,398
not RS,462
not RS,491
not RS,495
not RS,498
not RS,499
not SDS,150R
not SDS,250R
not SDS,251R
not SDS,370R
not SDS,375R
not SDS,398R
not SDS,399R
not SDS,450R
not SDS,451R
not SDS,49*
not SI,375R
not SMF,200
not SMF,220
not SMF,230
not SMF,310
not SMF,365
not SMF,366
not SMF,4*
not SOC,221
not SOC,229
not SOC,230
not SOC,280
not SOC,322
not SOC,330
not SOC,362
not SOC,375R
not SOC,398R
not SOC,399R
not SOC,40*
not SOC,41*
not SOC,42*
not SOC,430
not SOC,432
not SOC,433
not SOC,434
not SOC,435
not SOC,436
not SOC,44*
not SOC,45*
not SOC,46*
not SOC,49*
not SOCWK,375R
not SOCWK,390A
not SOCWK,390B
not SOCWK,398R
not SOCWK,399R
not SOCWK,450R
not SOCWK,490R
not STV,201
not STV,400
not STV,401
